SegmentID,SegmentType,Symbol,StationID,Code,Arrival,Departure,Minutes
1861203,I,STACOMA101,78,RAPIDS,10/5/17 9:59,10/5/17 10:01,2
1861337,I,XINBANV902,60,EDDY  ,10/5/17 8:26,10/5/17 8:50,24
1861347,I,XINBANV902,36,HOPEID,10/5/17 5:01,10/5/17 5:03,2
1861349,I,QSSEALT604,46,HERON ,10/4/17 22:28,10/4/17 22:35,7
1861358,I,ERBCSCM208,27,PLAIMT,10/5/17 6:32,10/5/17 6:36,4
1861362,I,ERBCSCM208,43,CHILDS,10/5/17 4:43,10/5/17 5:21,38
1861366,I,XINBANV902,27,PLAIMT,10/5/17 9:10,10/5/17 9:14,4
1861381,I,QSSEALT604,36,HOPEID,10/4/17 21:12,10/4/17 21:14,2
1861399,I,ERBCSCM208,31,THOFAL,10/5/17 5:42,10/5/17 5:45,3
1861409,I,ERBCSCM208,26,NOXON ,10/5/17 4:11,10/5/17 4:13,2
1861434,I,QSSEALT604,40,LOGAMT,10/5/17 9:39,10/5/17 9:42,3
1861435,I,XINBANV902,57,COLBY ,10/5/17 5:16,10/5/17 5:18,2
1861436,I,QSSEALT604,26,NOXON ,10/4/17 22:58,10/4/17 23:00,2
1861441,I,QSSEALT604,73,LOUISV,10/5/17 7:34,10/5/17 7:36,2
1861444,I,ERBCSCM208,7,PARAMT,10/5/17 6:41,10/5/17 6:45,4
1861451,I,QSSEALT604,84,TUSCOR,10/4/17 23:09,10/4/17 23:11,2
1861457,I,QSSEALT604,23,TOWNMT,10/5/17 8:23,10/5/17 8:28,5
1861458,I,QSSEALT604,53,BONNER,10/5/17 4:05,10/5/17 4:10,5
1861466,I,ERBCSCM208,60,EDDY  ,10/5/17 6:07,10/5/17 6:12,5
1861467,I,QSSEALT604,57,COLBY ,10/4/17 21:38,10/4/17 22:11,33
1861477,I,XINBANV902,7,PARAMT,10/5/17 9:19,10/5/17 9:23,4
1861494,I,XINBANV902,52,BEARMT,10/5/17 14:56,10/5/17 15:00,4
1861496,I,XINBANV902,53,BONNER,10/5/17 13:49,10/5/17 13:56,7
1861500,I,XINBANV902,84,TUSCOR,10/5/17 6:14,10/5/17 7:25,71
1861518,I,QSSEALT604,47,BLOSSB,10/5/17 6:14,10/5/17 6:18,4
1861528,I,QSSEALT604,16,BOZEMA,10/5/17 10:11,10/5/17 10:14,3
1861530,I,ERBCSCM208,46,HERON ,10/5/17 3:46,10/5/17 3:48,2
1861531,I,QSSEALT604,31,THOFAL,10/4/17 23:46,10/5/17 0:02,16
1861538,I,XINBANV902,31,THOFAL,10/5/17 8:02,10/5/17 8:05,3
1861559,I,XINBANV902,76,NIMROD,10/5/17 14:40,10/5/17 14:45,5
1861565,I,ERBCSCM208,84,TUSCOR,10/5/17 4:21,10/5/17 4:23,2
1861566,I,QSSEALT604,27,PLAIMT,10/5/17 0:44,10/5/17 0:47,3
1861571,I,QSSEALT604,51,AVON  ,10/5/17 5:42,10/5/17 5:44,2
1861577,I,QSSEALT604,89,WSTEND,10/5/17 10:32,10/5/17 10:37,5
1861579,I,QSSEALT604,72,LOMBRD,10/5/17 8:55,10/5/17 8:58,3
1861584,I,QSSEALT604,55,CLINTN,10/5/17 4:24,10/5/17 4:27,3
1861595,I,XINBANV902,26,NOXON ,10/5/17 5:54,10/5/17 6:00,6
1861613,I,ERBCSCM208,57,COLBY ,10/5/17 3:33,10/5/17 3:35,2
1861615,I,QSSEALT604,43,CHILDS,10/4/17 23:27,10/4/17 23:29,2
1861623,I,ERBCSCM208,36,HOPEID,10/5/17 3:17,10/5/17 3:20,3
1861626,I,XINBANV902,43,CHILDS,10/5/17 7:44,10/5/17 7:45,1
1861631,I,XINBANV902,55,CLINTN,10/5/17 14:09,10/5/17 14:12,3
